"","LF_Name","LC_Name","Temp_Moist","RealmWE_ID","WE_ID","Realm_ID","RealmClass","LF_Class","MoistClass","TempClass","LC_Class","Realm_Name","Temp_Name","Moist_Name","WEcosystm","RWEcosystm","LandC_Type","Code","CR_HEX","LC_HEX","LF_HEX","TempMoistClass","WTE_code","WTE_HEX"
"65","Hills","Sparsley or Non vegetated","Cool Temperate Desert",6208,208,6000,6,2,1,2,6,"Neotropic","Cool Temperate","Desert","Cool Temperate Desert Sparsley or Non vegetated on Hills","Neotropic Cool Temperate Desert Sparsley or Non vegetated on Hills","Natural",2126,"#41AB5D66","#D9D99EFF","#7DC756B2",4,6204,"#76bf66"
"66","Hills","Grassland","Cool Temperate Moist",8114,114,8000,8,2,3,2,4,"Palearctic","Cool Temperate","Moist","Cool Temperate Moist Grassland on Hills","Palearctic Cool Temperate Moist Grassland on Hills","Natural",2324,"#005C3266","#789E60FF","#7DC756B2",6,4206,"#4a9549"
"67","Hills","Shrubland","Sub Tropical Moist",5307,307,5000,5,2,3,4,2,"Nearctic","Sub Tropical","Moist","Sub Tropical Moist Shrubland on Hills","Nearctic Sub Tropical Moist Shrubland on Hills","Natural",4322,"#FCC24E66","#A8A800FF","#7DC756B2",12,2212,"#b8bf43"
"68","Hills","Shrubland","Tropical Dry",3335,335,3000,3,2,2,5,2,"Australasia","Tropical","Dry","Tropical Dry Shrubland on Hills","Australasia Tropical Dry Shrubland on Hills","Natural",5222,"#99330366","#A8A800FF","#7DC756B2",14,2214,"#908625"
"69","Hills","Cropland","Sub Tropical Dry",8278,278,8000,8,2,2,4,1,"Palearctic","Sub Tropical","Dry","Sub Tropical Dry Cropland on Hills","Palearctic Sub Tropical Dry Cropland on Hills","Converted",4221,"#FCE30066","#B5D99EFF","#7DC756B2",11,1211,"#bad541"
"70","Hills","Cropland","Tropical Desert",1380,380,1000,1,2,1,5,1,"Afrotropic","Tropical","Desert","Tropical Desert Cropland on Hills","Afrotropic Tropical Desert Cropland on Hills","Converted",5121,"#CC4C0266","#B5D99EFF","#7DC756B2",13,1213,"#a79941"
"71","Hills","Forest","Tropical Desert",8406,406,8000,8,2,1,5,3,"Palearctic","Tropical","Desert","Tropical Desert Forest on Hills","Palearctic Tropical Desert Forest on Hills","Natural",5123,"#CC4C0266","#267300FF","#7DC756B2",13,3213,"#8d8725"
"72","Hills","Grassland","Sub Tropical Moist",7295,295,7000,7,2,3,4,4,"Oceania","Sub Tropical","Moist","Sub Tropical Moist Grassland on Hills","Oceania Sub Tropical Moist Grassland on Hills","Natural",4324,"#FCC24E66","#789E60FF","#7DC756B2",12,4212,"#afbe55"
"73","Hills","Cropland","Sub Tropical Desert",6349,349,6000,6,2,1,4,1,"Neotropic","Sub Tropical","Desert","Sub Tropical Desert Cropland on Hills","Neotropic Sub Tropical Desert Cropland on Hills","Converted",4121,"#FFF7BA66","#B5D99EFF","#7DC756B2",10,1210,"#bbdd8b"
"74","Hills","Sparsley or Non vegetated","Boreal Dry",8070,70,8000,8,2,2,1,6,"Palearctic","Boreal","Dry","Boreal Dry Sparsley or Non vegetated on Hills","Palearctic Boreal Dry Sparsley or Non vegetated on Hills","Natural",1226,"#2C8EBF66","#D9D99EFF","#7DC756B2",2,6202,"#6db38d"
"75","Hills","Shrubland","Tropical Desert",8386,386,8000,8,2,1,5,2,"Palearctic","Tropical","Desert","Tropical Desert Shrubland on Hills","Palearctic Tropical Desert Shrubland on Hills","Natural",5122,"#CC4C0266","#A8A800FF","#7DC756B2",13,2213,"#a49025"
"76","Hills","Cropland","Sub Tropical Desert",8349,349,8000,8,2,1,4,1,"Palearctic","Sub Tropical","Desert","Sub Tropical Desert Cropland on Hills","Palearctic Sub Tropical Desert Cropland on Hills","Converted",4121,"#FFF7BA66","#B5D99EFF","#7DC756B2",10,1210,"#bbdd8b"
